farm_id,angle_deg,n_turb,country,TI,expected_AEP_kWh,expected_AEP_noWake_kWh,expected_CF,expected_WakeLoss,precompute_time_s
36,20,116,United Kingdom,0.07,3929716508.8677254,4828701893.900678,0.3867222198145691,0.1861753748286876,60.32744349999848
36,30,116,United Kingdom,0.07,3929834735.5386276,4828701893.900678,0.3867338544656971,0.18615089067673538,59.33146950000082
36,40,116,United Kingdom,0.07,3907608411.396893,4828701893.900678,0.38454656859125463,0.19075385118871263,59.10091320000356
36,50,116,United Kingdom,0.07,3909217570.3698974,4828701893.900678,0.3847049254418495,0.19042060241743583,57.01051179999922
36,60,116,United Kingdom,0.07,3932042995.1919937,4828701893.900678,0.38695116863407275,0.18569357115238133,59.65506499999901
36,70,116,United Kingdom,0.07,3950773812.132323,4828701893.900678,0.3887944626960639,0.18181451269072962,59.865532200004964
36,80,116,United Kingdom,0.07,3964929813.45427,4828701893.900678,0.39018755052888027,0.1788828756518335,61.966913600001135
36,90,116,United Kingdom,0.07,3966184406.33028,4828701893.900678,0.3903110146365021,0.17862305574503937,61.553935199997795
36,100,116,United Kingdom,0.07,3946795047.642565,4828701893.900678,0.3884029136792006,0.1826384949073133,61.51001019999967
36,110,116,United Kingdom,0.07,3928300877.361139,4828701893.900678,0.386582907943743,0.18646854503005675,61.03794740000012
36,120,116,United Kingdom,0.07,3938858617.076074,4828701893.900678,0.3876218919339547,0.1842820899647169,58.53759249999712
36,130,116,United Kingdom,0.07,3950631198.819019,4828701893.900678,0.3887804281627912,0.18184404719429548,59.941943199999514
36,140,116,United Kingdom,0.07,3961158761.8030148,4828701893.900678,0.3898164424699865,0.17966384157893256,59.099776199996995
36,150,116,United Kingdom,0.07,3955980300.7240033,4828701893.900678,0.3893068316725716,0.1807362749560173,59.16589709999971
36,160,116,United Kingdom,0.07,3922760522.0132484,4828701893.900678,0.3860376832401638,0.1876159248993522,59.64774049999687
36,170,116,United Kingdom,0.07,3913800211.7047653,4828701893.900678,0.3851559017974301,0.1894715603279549,61.162074899999425
36,0,116,United Kingdom,0.07,3915194231.5247855,4828701893.900678,0.3852930868686807,0.18918286579873142,59.14162380000198
36,10,116,United Kingdom,0.07,3916082943.633461,4828701893.900678,0.3853805447600241,0.18899881796803017,58.72533029999613
36,20,116,United Kingdom,0.07,3929716508.8677254,4828701893.900678,0.3867222198145691,0.1861753748286876,60.593385399995896
36,30,116,United Kingdom,0.07,3929834735.5386276,4828701893.900678,0.3867338544656971,0.18615089067673538,60.96450580000237
36,40,116,United Kingdom,0.07,3907608411.396893,4828701893.900678,0.38454656859125463,0.19075385118871263,60.77692649999517
36,50,116,United Kingdom,0.07,3909217570.3698974,4828701893.900678,0.3847049254418495,0.19042060241743583,60.67417690000002
36,60,116,United Kingdom,0.07,3932042995.1919937,4828701893.900678,0.38695116863407275,0.18569357115238133,57.75789059999806
