farm_id,receptor_id,season,direction_deg,concentration,flux,rotor_height_fraction,evidence_level,conservation_weight,n_observations,source
10,radar_bauer_United Kingdom,spring,21.700000000000003,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
10,radar_bauer_United Kingdom,spring,31.700000000000003,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
10,radar_bauer_United Kingdom,spring,41.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
10,radar_bauer_United Kingdom,spring,51.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
10,radar_bauer_United Kingdom,spring,61.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
10,radar_bauer_United Kingdom,autumn,208.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
10,radar_bauer_United Kingdom,autumn,218.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
10,radar_bauer_United Kingdom,autumn,228.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
10,radar_bauer_United Kingdom,autumn,238.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
10,radar_bauer_United Kingdom,autumn,248.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
13,radar_bauer_United Kingdom,spring,28.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
13,radar_bauer_United Kingdom,spring,38.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
13,radar_bauer_United Kingdom,spring,48.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
13,radar_bauer_United Kingdom,spring,58.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
13,radar_bauer_United Kingdom,spring,68.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
13,radar_bauer_United Kingdom,autumn,212.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
13,radar_bauer_United Kingdom,autumn,222.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
13,radar_bauer_United Kingdom,autumn,232.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
13,radar_bauer_United Kingdom,autumn,242.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
13,radar_bauer_United Kingdom,autumn,252.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
22,radar_bauer_Germany,spring,23.5,0.151,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Germany
22,radar_bauer_Germany,spring,33.5,0.151,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Germany
22,radar_bauer_Germany,spring,43.5,0.151,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Germany
22,radar_bauer_Germany,spring,53.5,0.151,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Germany
22,radar_bauer_Germany,spring,63.5,0.151,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Germany
22,radar_bauer_Germany,autumn,213.3,0.151,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Germany
22,radar_bauer_Germany,autumn,223.3,0.151,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Germany
22,radar_bauer_Germany,autumn,233.3,0.151,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Germany
22,radar_bauer_Germany,autumn,243.3,0.151,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Germany
22,radar_bauer_Germany,autumn,253.3,0.151,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Germany
25,radar_bauer_Sweden,spring,20.9,0.202,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
25,radar_bauer_Sweden,spring,30.9,0.202,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
25,radar_bauer_Sweden,spring,40.9,0.202,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
25,radar_bauer_Sweden,spring,50.9,0.202,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
25,radar_bauer_Sweden,spring,60.9,0.202,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
25,radar_bauer_Sweden,autumn,213.4,0.202,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
25,radar_bauer_Sweden,autumn,223.4,0.202,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
25,radar_bauer_Sweden,autumn,233.4,0.202,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
25,radar_bauer_Sweden,autumn,243.4,0.202,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
25,radar_bauer_Sweden,autumn,253.4,0.202,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
29,radar_bauer_Sweden,spring,20.200000000000003,0.207,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
29,radar_bauer_Sweden,spring,30.200000000000003,0.207,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
29,radar_bauer_Sweden,spring,40.2,0.207,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
29,radar_bauer_Sweden,spring,50.2,0.207,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
29,radar_bauer_Sweden,spring,60.2,0.207,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
29,radar_bauer_Sweden,autumn,213.0,0.207,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
29,radar_bauer_Sweden,autumn,223.0,0.207,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
29,radar_bauer_Sweden,autumn,233.0,0.207,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
