farm_id,country,centroid_lat,centroid_lon,n_turb,capacity_kW,data_radar,data_dist,all_radar,all_dist,group
92,China,30.4497,121.896,54,540000,deess,12967.014368326074,denhb,12609.587808603219,East Asia
93,United Kingdom,56.2642,-2.2434,51,510000,nlhrw,859.0250140881811,bejab,816.2939486809885,Europe (no direction data)
94,China,37.2621,119.4511,50,500000,deess,12583.639765388709,denhb,12209.030816306837,East Asia
95,Sweden,54.8305,13.8582,50,500000,deess,854.1637846141045,denhb,378.29812096055934,Europe (no direction data)
96,United Kingdom,51.7298,1.2299,50,500000,nlhrw,413.54006099536497,frabb,189.6599949806226,Europe (direction data)
97,China,22.12,113.7329,49,490000,deess,12288.274146575166,denhb,11960.67653032259,East Asia
98,China,34.6039,119.7916,48,480000,deess,12661.21411288065,denhb,12293.565992527807,East Asia
99,Sweden,55.5128,12.7808,48,480000,deess,790.2118025150471,denhb,315.36825864071966,Europe (no direction data)
100,Netherlands,52.747,5.5908,48,480000,nlhrw,96.01042130123172,nlhrw,96.01042130123172,Europe (direction data)
101,China,25.5817,119.6054,47,470000,deess,12826.777866554175,denhb,12484.301754464126,East Asia
102,United Kingdom,51.458,1.0879,45,450000,nlhrw,438.9350463241801,frabb,168.8622103006172,Europe (direction data)
103,China,29.0656,122.0286,41,410000,deess,13009.894610988966,denhb,12656.165047637762,East Asia
104,China,30.3864,121.6844,40,400000,deess,12945.172427493375,denhb,12588.03037627677,East Asia
105,China,28.8353,121.8575,40,400000,deess,12996.153487896761,denhb,12643.151853636069,East Asia
106,China,38.0237,119.2633,39,390000,deess,12552.677149918743,denhb,12176.125336596459,East Asia
107,Vietnam,9.0822,105.5854,39,390000,deess,11911.594747211391,denhb,11635.886759958867,East Asia
108,China,37.2428,119.6233,38,380000,deess,12602.871914176798,denhb,12228.251210844513,East Asia
109,China,32.3706,121.6844,38,380000,deess,12907.30586971666,denhb,12544.79956583102,East Asia
110,China,29.531,122.0568,38,380000,deess,13003.22465660161,denhb,12648.209313882186,East Asia
111,China,22.6779,115.9363,36,360000,deess,12508.381898682024,denhb,12177.193245931105,East Asia
112,Vietnam,9.6266,106.579,36,360000,deess,11989.526064765352,denhb,11710.514786958247,East Asia
113,Netherlands,52.607,4.4203,36,360000,nlhrw,52.809769739036255,nlhrw,52.809769739036255,Europe (direction data)
114,China,37.9135,121.8844,35,350000,deess,12843.042977558116,denhb,12465.89050087866,East Asia
115,Vietnam,9.9279,106.6985,35,350000,deess,11988.878096374232,denhb,11708.687382622862,East Asia
116,United Kingdom,53.8058,0.1494,35,350000,nlhrw,519.4267979167034,bejab,435.945063431162,Europe (no direction data)
117,United States of America,41.0531,-70.4351,33,330000,nlhrw,8449.379124660583,frabb,8084.454543600948,Americas
