species,order,iucn,migratory,weight
Penelope pileata,Galliformes,VU,False,1.5
Penelope ochrogaster,Galliformes,VU,False,1.5
Penelope jacucaca,Galliformes,VU,False,1.5
Pipile pipile,Galliformes,CR,False,2.5
Pipile cumanensis,Galliformes,LC,False,0.5
Pipile grayi,Galliformes,NT,False,1.0
Pipile cujubi,Galliformes,VU,False,1.5
Pipile jacutinga,Galliformes,EN,False,2.0
Aburria aburri,Galliformes,LC,False,0.5
Chamaepetes unicolor,Galliformes,LC,False,0.5
Chamaepetes goudotii,Galliformes,LC,False,0.5
Penelopina nigra,Galliformes,VU,False,1.5
Oreophasis derbianus,Galliformes,EN,False,2.0
Nothocrax urumutum,Galliformes,LC,False,0.5
Mitu tomentosum,Galliformes,LC,False,0.5
Mitu salvini,Galliformes,LC,False,0.5
Mitu tuberosum,Galliformes,NT,False,1.0
Mitu mitu,Galliformes,EW,False,0.25
Pauxi pauxi,Galliformes,VU,False,1.5
Pauxi unicornis,Galliformes,CR,False,2.5
Pauxi koepckeae,Galliformes,CR,False,2.5
Crax rubra,Galliformes,VU,False,1.5
Crax alberti,Galliformes,CR,False,2.5
Crax daubentoni,Galliformes,NT,False,1.0
Crax alector,Galliformes,LC,False,0.5
Crax globulosa,Galliformes,EN,False,2.0
Crax fasciolata,Galliformes,VU,False,1.5
Crax pinima,Galliformes,CR,False,2.5
Crax blumenbachii,Galliformes,EN,False,2.0
Agelastes meleagrides,Galliformes,VU,False,1.5
Agelastes niger,Galliformes,LC,False,0.5
Numida meleagris,Galliformes,LC,False,0.5
Guttera plumifera,Galliformes,LC,False,0.5
Guttera verreauxi,Galliformes,LC,False,0.5
Guttera pucherani,Galliformes,LC,False,0.5
Guttera edouardi,Galliformes,LC,False,0.5
Acryllium vulturinum,Galliformes,LC,False,0.5
Ptilopachus petrosus,Galliformes,LC,False,0.5
Ptilopachus nahani,Galliformes,VU,False,1.5
Dendrortyx leucophrys,Galliformes,LC,False,0.5
Dendrortyx macroura,Galliformes,LC,False,0.5
Dendrortyx barbatus,Galliformes,VU,False,1.5
Oreortyx pictus,Galliformes,LC,False,0.5
Callipepla squamata,Galliformes,LC,False,0.5
Callipepla douglasii,Galliformes,LC,False,0.5
Callipepla californica,Galliformes,LC,False,0.5
Callipepla gambelii,Galliformes,LC,False,0.5
Philortyx fasciatus,Galliformes,LC,False,0.5
Colinus virginianus,Galliformes,NT,False,1.0
Colinus nigrogularis,Galliformes,LC,False,0.5
Colinus leucopogon,Galliformes,LC,False,0.5
Colinus cristatus,Galliformes,LC,False,0.5
Odontophorus gujanensis,Galliformes,LC,False,0.5
Odontophorus capueira,Galliformes,LC,False,0.5
Odontophorus melanotis,Galliformes,NT,False,1.0
Odontophorus erythrops,Galliformes,LC,False,0.5
Odontophorus atrifrons,Galliformes,LC,False,0.5
Odontophorus hyperythrus,Galliformes,LC,False,0.5
Odontophorus melanonotus,Galliformes,LC,False,0.5
Odontophorus speciosus,Galliformes,LC,False,0.5
Odontophorus dialeucos,Galliformes,LC,False,0.5
Odontophorus strophium,Galliformes,VU,False,1.5
Odontophorus columbianus,Galliformes,NT,False,1.0
Odontophorus leucolaemus,Galliformes,LC,False,0.5
Odontophorus balliviani,Galliformes,LC,False,0.5
Odontophorus stellatus,Galliformes,LC,False,0.5
Odontophorus guttatus,Galliformes,LC,False,0.5
Dactylortyx thoracicus,Galliformes,LC,False,0.5
Cyrtonyx montezumae,Galliformes,LC,True,2.0
Cyrtonyx sallei,Galliformes,NT,False,1.0
Cyrtonyx ocellatus,Galliformes,VU,False,1.5
Rhynchortyx cinctus,Galliformes,NT,False,1.0
Xenoperdix udzungwensis,Galliformes,EN,False,2.0
Caloperdix oculeus,Galliformes,NT,False,1.0
Rollulus rouloul,Galliformes,VU,False,1.5
Melanoperdix niger,Galliformes,VU,False,1.5
Arborophila torqueola,Galliformes,LC,False,0.5
Arborophila rufipectus,Galliformes,VU,False,1.5
Arborophila mandellii,Galliformes,NT,False,1.0
Arborophila gingica,Galliformes,NT,False,1.0
Arborophila rufogularis,Galliformes,LC,False,0.5
Arborophila rubrirostris,Galliformes,LC,False,0.5
Arborophila cambodiana,Galliformes,LC,False,0.5
Arborophila ardens,Galliformes,VU,False,1.5
Arborophila crudigularis,Galliformes,LC,False,0.5
Arborophila atrogularis,Galliformes,LC,False,0.5
Arborophila brunneopectus,Galliformes,LC,False,0.5
Arborophila davidi,Galliformes,NT,False,1.0
Arborophila hyperythra,Galliformes,LC,False,0.5
