farm_id,n_turbines,centroid_lat,centroid_lon,hub_height,rotor_diam,capacity_kw,hub_height_imputed,rotor_diam_imputed,capacity_imputed,pc1_angle,explained_var_ratio,aep_000,aep_010,aep_020,aep_030,aep_040,aep_050,aep_060,aep_070,aep_080,aep_090,aep_100,aep_110,aep_120,aep_130,aep_140,aep_150,aep_160,aep_170
2766.0,173,55.7843,-3.6943,58.4,77.0,2300.0,False,False,False,14.22,0.9469,899511842.0,898959384.0,898537120.0,898787441.0,898059858.0,896337012.0,895148115.0,893654109.0,891912555.0,889697499.0,888626673.0,889277764.0,889305579.0,889584596.0,889854769.0,888938572.0,889257366.0,889017578.0
2284.0,171,38.7583,-1.5279,35.7,47.0,2000.0,False,False,True,28.6,0.9619,160879001.0,159250518.0,156606108.0,152923727.0,148248276.0,142507494.0,136712807.0,132654831.0,133114918.0,136596440.0,142053111.0,147759297.0,153389906.0,157599006.0,159997417.0,161406897.0,162133876.0,161953162.0
279.0,171,54.619,8.9128,91.0,82.0,3300.0,False,False,False,142.5,0.9545,983268572.0,984274371.0,983478209.0,981458636.0,979340062.0,977286323.0,974056969.0,972222581.0,970927872.0,970231811.0,969330113.0,969289183.0,970874403.0,971459387.0,973083363.0,975399786.0,977760885.0,979432864.0
3208.0,170,41.9766,-2.2971,39.5,52.0,800.0,False,False,False,150.22,0.9118,285773061.0,284546339.0,283441869.0,282738705.0,282041781.0,281196009.0,280271558.0,279669012.0,279135148.0,278449871.0,277320154.0,276888178.0,277166292.0,277823240.0,278531539.0,279025883.0,279200963.0,278793872.0
1260.0,170,42.3046,-8.2891,33.4,44.0,2000.0,False,False,True,125.99,0.8769,175814440.0,174266384.0,172386784.0,170010105.0,166566945.0,162816053.0,161028677.0,160583950.0,160622709.0,162126350.0,165291178.0,168945233.0,171345797.0,173126494.0,174711981.0,175569856.0,176052881.0,176400095.0
1114.0,166,39.4631,-2.2148,53.5,70.5,2000.0,False,False,True,5.59,0.8741,316700403.0,316945285.0,316232666.0,312990412.0,305578493.0,297986936.0,290935992.0,279886080.0,271602075.0,270932015.0,274464647.0,279345231.0,286150235.0,297227246.0,305873761.0,309220168.0,312410676.0,315027018.0
609.0,162,28.1385,-16.4691,40.0,52.0,330.0,False,False,False,56.21,0.9693,204626421.0,204275760.0,203106415.0,201428369.0,199030387.0,195546723.0,191805877.0,188691553.0,186629504.0,185887803.0,187147795.0,190114892.0,193965826.0,197445670.0,200694327.0,203110939.0,203735582.0,203737711.0
5159.0,160,53.4584,-3.5855,98.0,107.0,3600.0,False,False,False,4.93,0.9202,1552448988.0,1552920351.0,1550277247.0,1550812699.0,1549729367.0,1548531370.0,1547514922.0,1546204894.0,1538128447.0,1536709662.0,1534020724.0,1530868773.0,1528418282.0,1527063346.0,1520511926.0,1519551422.0,1518623611.0,1521106125.0
2876.0,158,48.7798,4.4177,90.0,100.0,2200.0,False,False,False,118.8,0.6947,855166615.0,854271037.0,853961251.0,853486125.0,851129084.0,848924605.0,845451977.0,843261540.0,841842323.0,839693510.0,839431388.0,839107265.0,839648871.0,839956175.0,838287165.0,836709228.0,835621682.0,834223037.0
3346.0,157,41.0998,0.3963,68.3,93.0,2300.0,False,False,False,33.5,0.954,1124908253.0,1124188839.0,1122828821.0,1119047908.0,1111994910.0,1105686353.0,1097939201.0,1090141026.0,1083904729.0,1078895172.0,1077667942.0,1077304596.0,1080430947.0,1088887843.0,1095448662.0,1103561092.0,1112305464.0,1119502901.0
2063.0,152,56.7944,8.7373,89.5,101.0,3000.0,False,False,False,37.64,0.8255,1406056587.0,1403055750.0,1400166331.0,1397845382.0,1395547075.0,1392966915.0,1391232300.0,1390670346.0,1390118612.0,1390348346.0,1391664188.0,1393441388.0,1395243964.0,1397217685.0,1399041197.0,1398670236.0,1396592375.0,1394067487.0
2838.0,152,55.9058,-2.5113,71.0,82.0,2300.0,False,False,False,177.29,0.9629,1056825316.0,1057753389.0,1058264244.0,1058147974.0,1054900903.0,1052582359.0,1050348046.0,1047000427.0,1042970578.0,1040178847.0,1034700600.0,1030973288.0,1027816661.0,1026543296.0,1024352110.0,1022212311.0,1021907600.0,1021611316.0
1011.0,150,41.8258,-1.4156,85.0,130.0,2000.0,False,False,False,37.1,0.8859,1174422479.0,1162842523.0,1151438431.0,1136642948.0,1119818966.0,1108856646.0,1104653639.0,1103615420.0,1108498174.0,1118110728.0,1127675078.0,1136773533.0,1143499869.0,1148358046.0,1146879319.0,1144442157.0,1143178580.0,1135246443.0
1330.0,150,43.6919,-7.9503,32.6,43.0,2000.0,False,False,True,80.37,0.7116,235147144.0,234643512.0,233247446.0,230698384.0,226838396.0,220466689.0,214393627.0,210311264.0,210549688.0,212921657.0,214358604.0,211732760.0,207166174.0,205711545.0,211382254.0,220412135.0,228402179.0,232633834.0
