ID,Country,Latitude,Longitude,Hub.height,turbine.rotorDiameter,turbine.capacity,Number.of.turbines,Total.power,Status
20727,Belgium,50.826,3.332,90.0,92.5,2050.0,1.0,2050.0,Production
183,Belgium,51.255,3.206,86.0,70.0,1800.0,7.0,12600.0,Production
251,Belgium,51.263,3.213,55.0,34.0,400.0,4.0,1600.0,Production
23003,Belgium,51.263,3.213,53.9,71.0,2300.0,5.0,11500.0,Production
23199,Belgium,51.209,3.225,105.0,90.0,3000.0,2.0,6000.0,Production
23200,Belgium,51.209,3.225,105.0,90.0,3000.0,2.0,6000.0,Production
24661,Belgium,50.887,3.349,100.0,100.0,2000.0,2.0,4000.0,Production
169,Belgium,51.167,2.967,85.0,71.0,2300.0,4.0,9200.0,Production
12612,Belgium,51.161,2.946,85.0,71.0,2000.0,2.0,4000.0,Production
5373,Belgium,50.88,2.879,83.0,71.0,2300.0,9.0,20700.0,Production
2778,Belgium,50.928,3.2,100.0,80.0,2000.0,2.0,4000.0,Production
16163,Belgium,50.935,3.176,105.0,90.0,2000.0,2.0,4000.0,Production
3965,Belgium,50.821,3.308,108.0,82.0,2000.0,4.0,8000.0,Production
244,Belgium,51.14,2.763,55.0,47.0,660.0,1.0,660.0,Production
245,Belgium,51.14,2.763,60.0,52.0,900.0,1.0,900.0,Production
246,Belgium,51.14,2.763,65.0,48.0,800.0,1.0,800.0,Production
20106,Belgium,50.788,3.104,108.0,82.0,2300.0,2.0,4600.0,Production
168,Belgium,50.994,2.806,62.0,48.0,800.0,2.0,1600.0,Production
7023,Belgium,50.895,3.178,98.0,71.0,2300.0,2.0,4600.0,Production
30294,Belgium,51.229,2.936,15.9,21.0,100.0,1.0,100.0,Production
20852,Belgium,50.852,2.76,70.2,92.5,2050.0,4.0,8200.0,Production
16552,Belgium,50.941,3.169,100.0,90.0,2500.0,2.0,5000.0,Production
25322,Belgium,50.941,3.169,100.0,90.0,2500.0,3.0,7500.0,Production
27625,Belgium,50.865,3.333,18.2,24.0,100.0,1.0,100.0,Production
23188,Belgium,50.916,3.424,108.0,82.0,2300.0,3.0,6900.0,Production
25324,Belgium,50.916,3.424,108.0,92.0,2350.0,1.0,2350.0,Production
254,Belgium,51.135,3.164,85.0,70.0,1800.0,1.0,1800.0,Production
15855,Belgium,51.316,3.186,100.0,82.0,2050.0,2.0,4100.0,Production
5374,Belgium,51.361,3.213,65.0,52.0,850.0,10.0,8500.0,Production
18345,Bulgaria,,,,,,,,Production
18344,Bulgaria,42.8,27.283,,,,,,Production
21984,Bulgaria,42.763,26.773,,,,,,Production
885,Bulgaria,43.42,28.14,21.3,28.0,250.0,1.0,250.0,Production
886,Bulgaria,43.42,28.14,21.3,28.0,250.0,2.0,500.0,Production
887,Bulgaria,43.42,28.14,21.3,28.0,250.0,1.0,250.0,Production
17683,Bulgaria,43.419,28.149,64.5,85.0,2000.0,5.0,10000.0,Production
15220,Bulgaria,43.392,28.45,69.0,61.4,1000.0,35.0,35000.0,Production
15383,Bulgaria,43.742,28.135,79.0,88.0,2100.0,6.0,12600.0,Production
880,Bulgaria,43.42,28.25,30.4,40.0,500.0,2.0,1000.0,Production
