farm_id,n_turbines,pc1_angle,explained_var_ratio,centroid_lat,centroid_lon,lat_range_km,lon_range_km,med_hub_height,med_rotor_diam,med_capacity_kw,med_start_year,n_hub_height,n_rotor,n_capacity,n_start_year
2385,90,65.45,0.9087,52.7491,5.6008,15.4,5.23,95.0,108.0,3000.0,,78,78,78,0
3902,90,143.25,0.8872,63.4131,16.1646,11.69,6.43,115.0,113.0,3200.0,,0,0,90,0
3809,90,150.95,0.589,53.0672,19.9727,10.76,8.87,100.0,92.5,2200.0,,0,0,85,0
615,90,147.72,0.8652,52.8119,4.9364,16.23,13.78,23.0,51.5,3600.0,,1,0,73,0
1213,90,19.98,0.9918,42.0849,-1.7161,6.4,10.16,120.9,158.0,5800.0,,5,5,5,0
1774,90,148.59,0.9573,42.3624,-7.6405,7.69,7.34,35.7,47.0,0.8,,0,0,1,0
3120,90,168.37,0.9518,54.5569,11.5438,6.29,10.33,115.0,93.0,2300.0,2010.0,90,90,90,90
2816,90,160.14,0.9904,41.7545,-2.0019,3.44,7.5,34.9,30.0,330.0,,0,90,90,0
3552,90,94.52,0.9392,41.1285,0.89,3.07,0.88,21.3,28.0,225.0,,0,0,0,0
5845,89,178.85,0.7179,53.0016,5.2635,6.7,6.76,109.0,130.0,4300.0,,89,89,89,0
1796,88,168.48,0.9924,42.7358,-1.75,3.5,10.12,31.9,42.0,0.5,,0,0,58,0
338,87,115.09,0.6404,54.3034,10.9945,10.52,6.79,119.0,47.0,6000.0,,28,0,45,0
3528,86,62.01,0.8291,40.8552,0.6015,5.13,2.65,34.9,46.0,750.0,,0,0,0,0
1607,86,153.51,0.8754,57.0581,9.1822,12.12,11.44,85.0,113.0,3.2,2015.0,45,45,45,45
5984,86,27.31,0.9056,52.4823,5.7168,16.71,13.13,166.0,164.0,6200.0,,25,15,72,0
2658,86,102.4,0.9288,51.3857,11.7148,15.09,3.63,76.7,101.0,2000.0,,0,0,72,0
4746,86,157.46,0.8884,53.1348,1.1489,7.78,8.6,82.0,107.0,3600.0,2012.0,0,0,86,86
1515,85,163.7,0.9382,37.1597,-2.7311,7.83,14.77,66.8,88.0,2100.0,,0,0,85,0
2269,84,125.33,0.8755,48.4389,4.0476,16.5,9.04,92.5,112.0,2050.0,2016.0,47,47,84,32
5352,84,29.88,0.8726,58.2569,-2.8848,15.66,13.0,116.9,154.0,7000.0,,0,0,84,0
2995,84,20.02,0.8517,50.1957,2.9069,11.6,13.96,94.0,117.0,3600.0,2020.0,62,62,84,55
1069,83,142.36,0.7101,52.7497,8.8087,13.07,10.9,166.6,71.0,5560.0,2023.0,10,0,17,10
22,82,49.17,0.8812,52.1162,7.0407,20.0,11.97,138.0,40.3,2325.0,2013.0,11,0,14,5
1960,80,63.69,0.7175,42.5552,-8.204,7.58,4.98,33.4,44.0,600.0,,0,0,0,0
5930,80,169.92,0.9038,47.1587,-2.608,9.78,14.99,57.0,80.0,6000.0,,0,0,80,0
2832,80,115.31,0.7684,59.0383,-3.0483,20.95,10.38,45.0,44.0,0.9,,0,0,6,0
2613,80,177.18,0.8357,55.4861,7.8406,3.96,5.56,70.0,80.0,2000.0,2002.0,80,80,80,20
336,80,74.54,0.777,53.5812,8.0145,18.39,6.71,119.0,61.0,3000.0,,24,12,47,0
281,79,2.54,0.8454,53.829,9.5476,7.21,10.68,93.0,113.0,1300.0,2016.0,65,65,79,47
3116,79,47.83,0.8392,39.8765,-1.5652,8.7,5.69,39.5,52.0,850.0,,0,0,0,0
4905,79,60.51,0.7773,58.4609,-4.0496,9.83,5.13,119.0,162.0,6200.0,,35,35,46,0
3417,78,75.78,0.9504,39.7267,-1.3755,11.09,3.28,39.5,52.0,850.0,,0,0,0,0
738,78,176.67,0.9946,42.9604,-2.4585,1.18,9.02,55.0,47.0,660.0,,78,78,78,0
2296,78,32.87,0.928,39.0869,-1.3094,6.67,7.07,50.0,52.0,800.0,,0,0,62,0
5265,78,64.39,0.5351,55.2502,-3.5588,6.92,4.3,80.0,82.0,2000.0,,0,0,78,0
322,78,14.47,0.9397,53.3739,7.3394,10.26,9.53,92.0,71.0,3000.0,,1,0,44,0
3990,78,142.92,0.704,41.3579,-2.5443,6.18,6.85,66.0,58.0,850.0,,0,78,78,0
1160,78,111.22,0.9412,52.3348,14.3787,10.71,3.92,164.0,149.0,3300.0,2016.0,18,18,78,78
