species,order,migratory_status,marine,conservation_weight
Emberiza_calandra,PASSERIFORMES,directional migratory,False,1.0
Emberiza_capensis,PASSERIFORMES,resident,False,0.1
Emberiza_chrysophrys,PASSERIFORMES,directional migratory,False,1.0
Emberiza_cia,PASSERIFORMES,directional migratory,False,1.0
Emberiza_cineracea,PASSERIFORMES,directional migratory,False,1.0
Emberiza_cioides,PASSERIFORMES,directional migratory,False,1.0
Emberiza_cirlus,PASSERIFORMES,directional migratory,False,1.0
Emberiza_citrinella,PASSERIFORMES,directional migratory,False,1.0
Emberiza_elegans,PASSERIFORMES,directional migratory,False,1.0
Emberiza_flaviventris,PASSERIFORMES,resident,False,0.1
Emberiza_fucata,PASSERIFORMES,directional migratory,False,1.0
Emberiza_godlewskii,PASSERIFORMES,dispersive migratory,False,0.5
Emberiza_hortulana,PASSERIFORMES,directional migratory,False,1.0
Emberiza_impetuani,PASSERIFORMES,nomadic,False,0.3
Emberiza_jankowskii,PASSERIFORMES,dispersive migratory,False,0.5
Emberiza_koslowi,PASSERIFORMES,resident,False,0.1
Emberiza_lathami,PASSERIFORMES,directional migratory,False,1.0
Emberiza_leucocephalos,PASSERIFORMES,directional migratory,False,1.0
Emberiza_melanocephala,PASSERIFORMES,directional migratory,False,1.0
Emberiza_pallasi,PASSERIFORMES,directional migratory,False,1.0
Emberiza_poliopleura,PASSERIFORMES,resident,False,0.1
Emberiza_pusilla,PASSERIFORMES,directional migratory,False,1.0
Emberiza_rustica,PASSERIFORMES,directional migratory,False,1.0
Emberiza_rutila,PASSERIFORMES,directional migratory,False,1.0
Emberiza_sahari,PASSERIFORMES,resident,False,0.1
Emberiza_schoeniclus,PASSERIFORMES,directional migratory,False,1.0
Emberiza_siemsseni,PASSERIFORMES,directional migratory,False,1.0
Emberiza_socotrana,PASSERIFORMES,resident,False,0.1
Emberiza_spodocephala,PASSERIFORMES,directional migratory,False,1.0
Emberiza_stewarti,PASSERIFORMES,directional migratory,False,1.0
Emberiza_striolata,PASSERIFORMES,resident,False,0.1
Emberiza_sulphurata,PASSERIFORMES,directional migratory,False,1.0
Emberiza_tahapisi,PASSERIFORMES,directional migratory,False,1.0
Emberiza_tristrami,PASSERIFORMES,directional migratory,False,1.0
Emberiza_variabilis,PASSERIFORMES,directional migratory,False,1.0
Emberiza_vincenti,PASSERIFORMES,resident,False,0.1
Emberiza_yessoensis,PASSERIFORMES,directional migratory,False,1.0
Emberizoides_duidae,PASSERIFORMES,resident,False,0.1
Emberizoides_herbicola,PASSERIFORMES,resident,False,0.1
Emberizoides_ypiranganus,PASSERIFORMES,resident,False,0.1
Embernagra_longicauda,PASSERIFORMES,resident,False,0.1
Embernagra_platensis,PASSERIFORMES,resident,False,0.1
Emblema_pictum,PASSERIFORMES,resident,False,0.1
Eminia_lepida,PASSERIFORMES,resident,False,0.1
Empidonax_affinis,PASSERIFORMES,resident,False,0.1
Empidonax_albigularis,PASSERIFORMES,directional migratory,False,1.0
Empidonax_alnorum,PASSERIFORMES,directional migratory,False,1.0
Empidonax_atriceps,PASSERIFORMES,resident,False,0.1
Empidonax_difficilis,PASSERIFORMES,directional migratory,False,1.0
Empidonax_flavescens,PASSERIFORMES,resident,False,0.1
Empidonax_flaviventris,PASSERIFORMES,directional migratory,False,1.0
Empidonax_fulvifrons,PASSERIFORMES,directional migratory,False,1.0
Empidonax_hammondii,PASSERIFORMES,directional migratory,False,1.0
Empidonax_minimus,PASSERIFORMES,directional migratory,False,1.0
Empidonax_oberholseri,PASSERIFORMES,directional migratory,False,1.0
Empidonax_occidentalis,PASSERIFORMES,directional migratory,False,1.0
Empidonax_traillii,PASSERIFORMES,directional migratory,False,1.0
Empidonax_virescens,PASSERIFORMES,directional migratory,False,1.0
Empidonax_wrightii,PASSERIFORMES,directional migratory,False,1.0
Empidonomus_varius,PASSERIFORMES,directional migratory,False,1.0
Empidornis_semipartitus,PASSERIFORMES,resident,False,0.1
Enicognathus_ferrugineus,PSITTACIFORMES,resident,False,0.1
Enicognathus_leptorhynchus,PSITTACIFORMES,resident,False,0.1
Enicurus_immaculatus,PASSERIFORMES,resident,False,0.1
Enicurus_leschenaulti,PASSERIFORMES,resident,False,0.1
Enicurus_maculatus,PASSERIFORMES,resident,False,0.1
Enicurus_ruficapillus,PASSERIFORMES,resident,False,0.1
Enicurus_schistaceus,PASSERIFORMES,resident,False,0.1
Enicurus_scouleri,PASSERIFORMES,resident,False,0.1
Enicurus_velatus,PASSERIFORMES,resident,False,0.1
Enodes_erythrophris,PASSERIFORMES,resident,False,0.1
Ensifera_ensifera,APODIFORMES,resident,False,0.1
Entomodestes_coracinus,PASSERIFORMES,resident,False,0.1
Entomodestes_leucotis,PASSERIFORMES,resident,False,0.1
Entomyzon_cyanotis,PASSERIFORMES,resident,False,0.1
Eolophus_roseicapilla,PSITTACIFORMES,resident,False,0.1
Eophona_migratoria,PASSERIFORMES,directional migratory,False,1.0
Eophona_personata,PASSERIFORMES,directional migratory,False,1.0
Eopsaltria_australis,PASSERIFORMES,resident,False,0.1
Eopsaltria_georgiana,PASSERIFORMES,resident,False,0.1
Eopsaltria_griseogularis,PASSERIFORMES,resident,False,0.1
Eos_bornea,PSITTACIFORMES,resident,False,0.1
Eos_cyanogenia,PSITTACIFORMES,nomadic,False,0.3
Eos_histrio,PSITTACIFORMES,resident,False,0.1
Eos_reticulata,PSITTACIFORMES,resident,False,0.1
Eos_semilarvata,PSITTACIFORMES,resident,False,0.1
Eos_squamata,PSITTACIFORMES,resident,False,0.1
Ephippiorhynchus_asiaticus,CICONIIFORMES,resident,False,0.1
Ephippiorhynchus_senegalensis,CICONIIFORMES,resident,False,0.1
Epimachus_fastosus,PASSERIFORMES,resident,False,0.1
Epimachus_meyeri,PASSERIFORMES,resident,False,0.1
Epinecrophylla_erythrura,PASSERIFORMES,resident,False,0.1
Epinecrophylla_fjeldsaai,PASSERIFORMES,resident,False,0.1
Epinecrophylla_fulviventris,PASSERIFORMES,resident,False,0.1
Epinecrophylla_gutturalis,PASSERIFORMES,resident,False,0.1
Epinecrophylla_haematonota,PASSERIFORMES,resident,False,0.1
Epinecrophylla_leucophthalma,PASSERIFORMES,resident,False,0.1
Epinecrophylla_ornata,PASSERIFORMES,resident,False,0.1
Epinecrophylla_spodionota,PASSERIFORMES,resident,False,0.1
Epthianura_albifrons,PASSERIFORMES,dispersive migratory,False,0.5
Epthianura_aurifrons,PASSERIFORMES,dispersive migratory,False,0.5
Epthianura_crocea,PASSERIFORMES,nomadic,False,0.3
Epthianura_tricolor,PASSERIFORMES,nomadic,False,0.3
Eremalauda_dunni,PASSERIFORMES,resident,False,0.1
Eremomela_atricollis,PASSERIFORMES,resident,False,0.1
Eremomela_badiceps,PASSERIFORMES,resident,False,0.1
Eremomela_canescens,PASSERIFORMES,resident,False,0.1
Eremomela_flavicrissalis,PASSERIFORMES,resident,False,0.1
Eremomela_gregalis,PASSERIFORMES,resident,False,0.1
Eremomela_icteropygialis,PASSERIFORMES,resident,False,0.1
Eremomela_pusilla,PASSERIFORMES,resident,False,0.1
Eremomela_salvadorii,PASSERIFORMES,resident,False,0.1
Eremomela_scotops,PASSERIFORMES,resident,False,0.1
Eremomela_turneri,PASSERIFORMES,resident,False,0.1
Eremomela_usticollis,PASSERIFORMES,resident,False,0.1
Eremophila_alpestris,PASSERIFORMES,directional migratory,False,1.0
Eremophila_bilopha,PASSERIFORMES,resident,False,0.1
Eremopsaltria_mongolica,PASSERIFORMES,dispersive migratory,False,0.5
Eremopterix_australis,PASSERIFORMES,nomadic,False,0.3
Eremopterix_griseus,PASSERIFORMES,resident,False,0.1
Eremopterix_leucopareia,PASSERIFORMES,resident,False,0.1
Eremopterix_leucotis,PASSERIFORMES,dispersive migratory,False,0.5
Eremopterix_nigriceps,PASSERIFORMES,resident,False,0.1
Eremopterix_signatus,PASSERIFORMES,resident,False,0.1
Eremopterix_verticalis,PASSERIFORMES,nomadic,False,0.3
Eriocnemis_aline,APODIFORMES,resident,False,0.1
Eriocnemis_cupreoventris,APODIFORMES,resident,False,0.1
Eriocnemis_derbyi,APODIFORMES,resident,False,0.1
Eriocnemis_glaucopoides,APODIFORMES,resident,False,0.1
Eriocnemis_godini,APODIFORMES,extinct,False,0.0
Eriocnemis_isabellae,APODIFORMES,resident,False,0.1
Eriocnemis_luciani,APODIFORMES,resident,False,0.1
Eriocnemis_mirabilis,APODIFORMES,resident,False,0.1
Eriocnemis_mosquera,APODIFORMES,resident,False,0.1
Eriocnemis_nigrivestis,APODIFORMES,resident,False,0.1
Eriocnemis_vestita,APODIFORMES,resident,False,0.1
Erithacus_akahige,PASSERIFORMES,directional migratory,False,1.0
Erithacus_komadori,PASSERIFORMES,directional migratory,False,1.0
Erithacus_rubecula,PASSERIFORMES,directional migratory,False,1.0
Erpornis_zantholeuca,PASSERIFORMES,resident,False,0.1
Erythrocercus_holochlorus,PASSERIFORMES,resident,False,0.1
Erythrocercus_livingstonei,PASSERIFORMES,resident,False,0.1
Erythrocercus_mccallii,PASSERIFORMES,resident,False,0.1
Erythrogonys_cinctus,CHARADRIIFORMES,resident,False,0.1
Erythromachus_leguati,GRUIFORMES,extinct,False,0.0
Erythropitta_arquata,PASSERIFORMES,resident,False,0.1
Erythropitta_erythrogaster,PASSERIFORMES,resident,False,0.1
Erythropitta_granatina,PASSERIFORMES,resident,False,0.1
Erythropitta_kochi,PASSERIFORMES,resident,False,0.1
Erythropitta_ussheri,PASSERIFORMES,resident,False,0.1
Erythropitta_venusta,PASSERIFORMES,resident,False,0.1
Erythropygia_barbata,PASSERIFORMES,resident,False,0.1
Erythropygia_coryphoeus,PASSERIFORMES,resident,False,0.1
Erythropygia_galactotes,PASSERIFORMES,directional migratory,False,1.0
Erythropygia_hartlaubi,PASSERIFORMES,resident,False,0.1
Erythropygia_leucophrys,PASSERIFORMES,resident,False,0.1
Erythropygia_leucosticta,PASSERIFORMES,resident,False,0.1
Erythropygia_paena,PASSERIFORMES,resident,False,0.1
Erythropygia_quadrivirgata,PASSERIFORMES,resident,False,0.1
Erythropygia_signata,PASSERIFORMES,resident,False,0.1
Erythrotriorchis_buergersi,ACCIPITRIFORMES,resident,False,0.1
Erythrotriorchis_radiatus,ACCIPITRIFORMES,resident,False,0.1
Erythrura_coloria,PASSERIFORMES,resident,False,0.1
Erythrura_cyaneovirens,PASSERIFORMES,resident,False,0.1
Erythrura_gouldiae,PASSERIFORMES,resident,False,0.1
Erythrura_hyperythra,PASSERIFORMES,resident,False,0.1
Erythrura_kleinschmidti,PASSERIFORMES,resident,False,0.1
Erythrura_papuana,PASSERIFORMES,resident,False,0.1
Erythrura_pealii,PASSERIFORMES,resident,False,0.1
Erythrura_prasina,PASSERIFORMES,dispersive migratory,False,0.5
Erythrura_psittacea,PASSERIFORMES,resident,False,0.1
Erythrura_regia,PASSERIFORMES,resident,False,0.1
Erythrura_trichroa,PASSERIFORMES,resident,False,0.1
Erythrura_tricolor,PASSERIFORMES,resident,False,0.1
Erythrura_viridifacies,PASSERIFORMES,nomadic,False,0.3
Esacus_magnirostris,CHARADRIIFORMES,resident,False,0.1
Esacus_recurvirostris,CHARADRIIFORMES,resident,False,0.1
Estrilda_astrild,PASSERIFORMES,resident,False,0.1
Estrilda_atricapilla,PASSERIFORMES,resident,False,0.1
Estrilda_caerulescens,PASSERIFORMES,resident,False,0.1
Estrilda_charmosyna,PASSERIFORMES,resident,False,0.1
Estrilda_erythronotos,PASSERIFORMES,resident,False,0.1
Estrilda_kandti,PASSERIFORMES,resident,False,0.1
Estrilda_melpoda,PASSERIFORMES,resident,False,0.1
Estrilda_nigriloris,PASSERIFORMES,resident,False,0.1
Estrilda_nonnula,PASSERIFORMES,resident,False,0.1
Estrilda_ochrogaster,PASSERIFORMES,resident,False,0.1
Estrilda_paludicola,PASSERIFORMES,resident,False,0.1
Estrilda_perreini,PASSERIFORMES,resident,False,0.1
Estrilda_poliopareia,PASSERIFORMES,resident,False,0.1
Estrilda_rhodopyga,PASSERIFORMES,resident,False,0.1
Estrilda_rufibarba,PASSERIFORMES,resident,False,0.1
Estrilda_thomensis,PASSERIFORMES,resident,False,0.1
Estrilda_troglodytes,PASSERIFORMES,resident,False,0.1
Eubucco_bourcierii,PICIFORMES,resident,False,0.1
Eubucco_richardsoni,PICIFORMES,resident,False,0.1
Eubucco_tucinkae,PICIFORMES,resident,False,0.1
Eubucco_versicolor,PICIFORMES,resident,False,0.1
Eucometis_penicillata,PASSERIFORMES,resident,False,0.1
Eudocimus_albus,PELECANIFORMES,dispersive migratory,False,0.5
Eudocimus_ruber,PELECANIFORMES,resident,False,0.1
Eudromia_elegans,TINAMIFORMES,resident,False,0.1
Eudromia_formosa,TINAMIFORMES,resident,False,0.1
Eudynamys_melanorhynchus,CUCULIFORMES,resident,False,0.1
Eudynamys_orientalis,CUCULIFORMES,directional migratory,False,1.0
Eudynamys_scolopaceus,CUCULIFORMES,directional migratory,False,1.0
Eudyptes_chrysocome,SPHENISCIFORMES,dispersive migratory,True,0.5
Eudyptes_chrysolophus,SPHENISCIFORMES,dispersive migratory,True,0.5
Eudyptes_moseleyi,SPHENISCIFORMES,dispersive migratory,True,0.5
Eudyptes_pachyrhynchus,SPHENISCIFORMES,dispersive migratory,True,0.5
Eudyptes_robustus,SPHENISCIFORMES,dispersive migratory,True,0.5
Eudyptes_schlegeli,SPHENISCIFORMES,dispersive migratory,True,0.5
Eudyptes_sclateri,SPHENISCIFORMES,dispersive migratory,True,0.5
Eudyptula_minor,SPHENISCIFORMES,resident,True,0.1
Eugenes_fulgens,APODIFORMES,directional migratory,False,1.0
Eugerygone_rubra,PASSERIFORMES,resident,False,0.1
Eugralla_paradoxa,PASSERIFORMES,resident,False,0.1
Eulabeornis_castaneoventris,GRUIFORMES,resident,False,0.1
Eulacestoma_nigropectus,PASSERIFORMES,resident,False,0.1
Eulampis_holosericeus,APODIFORMES,resident,False,0.1
Eulampis_jugularis,APODIFORMES,resident,False,0.1
Eulidia_yarrellii,APODIFORMES,resident,False,0.1
Eulipoa_wallacei,GALLIFORMES,resident,False,0.1
Eumomota_superciliosa,CORACIIFORMES,resident,False,0.1
Eumyias_albicaudatus,PASSERIFORMES,resident,False,0.1
Eumyias_indigo,PASSERIFORMES,resident,False,0.1
