farm_id,n_turbines,centroid_lat,centroid_lon,hub_height,rotor_diam,capacity_kw,hub_height_imputed,rotor_diam_imputed,capacity_imputed,pc1_angle,explained_var_ratio,grid_dist_km,spring_dir,autumn_dir,spring_conc,autumn_conc,budget,theta_econ,theta_eco,aep_cost_pct,risk_reduction,risk_reduction_abs
985.0,181.0,42.6851,-3.5833,55.0,48.0,750.0,False,False,False,146.3,0.9476,101.34854601226542,49.6,250.5,0.9885,0.8988,0.02,0,60,1.26,95.48,0.694039
985.0,181.0,42.6851,-3.5833,55.0,48.0,750.0,False,False,False,146.3,0.9476,101.34854601226542,49.6,250.5,0.9885,0.8988,0.05,0,60,1.26,95.48,0.694039
1348.0,181.0,41.2942,-3.1279,67.0,46.0,660.0,False,False,False,175.74,0.9881,199.43558117595222,49.6,250.5,0.9885,0.8988,0.005,0,10,0.3843,21.1,0.153354
1348.0,181.0,41.2942,-3.1279,67.0,46.0,660.0,False,False,False,175.74,0.9881,199.43558117595222,49.6,250.5,0.9885,0.8988,0.01,0,30,0.9661,64.26,0.467116
1348.0,181.0,41.2942,-3.1279,67.0,46.0,660.0,False,False,False,175.74,0.9881,199.43558117595222,49.6,250.5,0.9885,0.8988,0.02,0,60,1.3384,95.48,0.694039
1348.0,181.0,41.2942,-3.1279,67.0,46.0,660.0,False,False,False,175.74,0.9881,199.43558117595222,49.6,250.5,0.9885,0.8988,0.05,0,60,1.3384,95.48,0.694039
1001.0,174.0,42.4336,-3.795,85.0,77.0,1500.0,False,False,False,13.16,0.6742,126.90315915299205,49.6,250.5,0.9885,0.8988,0.005,160,0,0.4352,22.36,0.209403
1001.0,174.0,42.4336,-3.795,85.0,77.0,1500.0,False,False,False,13.16,0.6742,126.90315915299205,49.6,250.5,0.9885,0.8988,0.01,160,10,0.6183,38.74,0.362757
1001.0,174.0,42.4336,-3.795,85.0,77.0,1500.0,False,False,False,13.16,0.6742,126.90315915299205,49.6,250.5,0.9885,0.8988,0.02,160,40,1.7026,85.34,0.799082
1001.0,174.0,42.4336,-3.795,85.0,77.0,1500.0,False,False,False,13.16,0.6742,126.90315915299205,49.6,250.5,0.9885,0.8988,0.05,160,60,2.9117,96.49,0.903441
279.0,171.0,54.619,8.9128,91.0,82.0,3300.0,False,False,False,142.5,0.9545,14.600919713990844,65.5,245.6,0.876,0.4713,0.005,10,30,0.2861,50.31,0.34196
279.0,171.0,54.619,8.9128,91.0,82.0,3300.0,False,False,False,142.5,0.9545,14.600919713990844,65.5,245.6,0.876,0.4713,0.01,10,50,0.71,89.45,0.608022
279.0,171.0,54.619,8.9128,91.0,82.0,3300.0,False,False,False,142.5,0.9545,14.600919713990844,65.5,245.6,0.876,0.4713,0.02,10,70,1.2244,99.11,0.673692
279.0,171.0,54.619,8.9128,91.0,82.0,3300.0,False,False,False,142.5,0.9545,14.600919713990844,65.5,245.6,0.876,0.4713,0.05,10,70,1.2244,99.11,0.673692
3208.0,170.0,41.9766,-2.2971,39.5,52.0,800.0,False,False,False,150.22,0.9118,113.64709691045425,49.6,250.5,0.9885,0.8988,0.005,0,10,0.4293,21.1,0.153354
3208.0,170.0,41.9766,-2.2971,39.5,52.0,800.0,False,False,False,150.22,0.9118,113.64709691045425,49.6,250.5,0.9885,0.8988,0.01,0,20,0.8157,43.41,0.315582
3208.0,170.0,41.9766,-2.2971,39.5,52.0,800.0,False,False,False,150.22,0.9118,113.64709691045425,49.6,250.5,0.9885,0.8988,0.02,0,60,1.9251,95.48,0.694039
3208.0,170.0,41.9766,-2.2971,39.5,52.0,800.0,False,False,False,150.22,0.9118,113.64709691045425,49.6,250.5,0.9885,0.8988,0.05,0,60,1.9251,95.48,0.694039
