farm_id,theta_energy_hist,theta_freq_hist,theta_energy_mean,n_years,era5_wind_dir,source_type,bird_dir,concentration
0,,,270.4777777777778,11,270.4777777777778,yearly_mean,90.47777777777782,0.2
1,,,311.375,11,311.375,yearly_mean,131.375,0.2
2,,,315.9166666666667,11,315.9166666666667,yearly_mean,135.91666666666669,0.2
3,,,173.66363636363636,11,173.66363636363636,yearly_mean,353.66363636363633,0.2
4,146.2,180.9,154.87272727272727,11,146.2,hist_energy,326.2,0.2
5,183.5,182.1,181.78181818181818,11,183.5,hist_energy,3.5,0.2
6,,,86.0,11,86.0,yearly_mean,266.0,0.2
7,,,67.96363636363637,11,67.96363636363637,yearly_mean,247.96363636363637,0.2
8,82.4,175.8,93.2090909090909,11,82.4,hist_energy,262.4,0.2
9,,,115.7909090909091,11,115.7909090909091,yearly_mean,295.7909090909091,0.2
10,,,57.6,11,57.6,yearly_mean,237.6,0.2
11,,,301.9,11,301.9,yearly_mean,121.89999999999998,0.2
12,,,154.0,11,154.0,yearly_mean,334.0,0.2
13,,,39.5,11,39.5,yearly_mean,219.5,0.2
14,,,61.75,11,61.75,yearly_mean,241.75,0.2
15,,,286.71999999999997,11,286.71999999999997,yearly_mean,106.71999999999997,0.2
16,,,286.4666666666667,11,286.4666666666667,yearly_mean,106.4666666666667,0.2
17,,,317.1,11,317.1,yearly_mean,137.10000000000002,0.2
18,,,320.8,11,320.8,yearly_mean,140.8,0.2
19,,,54.8,11,54.8,yearly_mean,234.8,0.2
20,,,55.56363636363637,11,55.56363636363637,yearly_mean,235.56363636363636,0.2
21,,,70.04444444444444,11,70.04444444444444,yearly_mean,250.04444444444442,0.2
22,,,60.618181818181824,11,60.618181818181824,yearly_mean,240.61818181818182,0.2
23,,,79.44545454545454,11,79.44545454545454,yearly_mean,259.44545454545454,0.2
24,,,84.0,11,84.0,yearly_mean,264.0,0.2
25,,,80.32000000000001,11,80.32000000000001,yearly_mean,260.32,0.2
26,,,80.4090909090909,11,80.4090909090909,yearly_mean,260.4090909090909,0.2
27,,,75.78999999999999,11,75.78999999999999,yearly_mean,255.79,0.2
28,65.5,84.9,63.90909090909091,11,65.5,hist_energy,245.5,0.2
29,,,73.06363636363636,11,73.06363636363636,yearly_mean,253.06363636363636,0.2
30,,,93.48,11,93.48,yearly_mean,273.48,0.2
31,,,85.42727272727272,11,85.42727272727272,yearly_mean,265.42727272727274,0.2
32,,,96.7,11,96.7,yearly_mean,276.7,0.2
33,90.9,92.2,94.61666666666667,11,90.9,hist_energy,270.9,0.2
34,,,83.56363636363636,11,83.56363636363636,yearly_mean,263.56363636363636,0.2
35,79.4,78.2,80.54285714285713,11,79.4,hist_energy,259.4,0.2
36,,,92.66666666666667,11,92.66666666666667,yearly_mean,272.6666666666667,0.2
37,70.2,70.7,83.41666666666667,11,70.2,hist_energy,250.2,0.2
38,,,85.56666666666666,11,85.56666666666666,yearly_mean,265.56666666666666,0.2
39,,,234.63333333333333,11,234.63333333333333,yearly_mean,54.633333333333326,0.2
40,8.4,57.8,102.45454545454545,11,8.4,hist_energy,188.4,0.2
41,,,5.625,11,5.625,yearly_mean,185.625,0.2
42,,,3.6999999999999997,11,3.6999999999999997,yearly_mean,183.7,0.2
43,,,65.78333333333333,11,65.78333333333333,yearly_mean,245.78333333333333,0.2
44,,,12.139999999999999,11,12.139999999999999,yearly_mean,192.14,0.2
45,,,32.8625,11,32.8625,yearly_mean,212.8625,0.2
46,,,36.1875,11,36.1875,yearly_mean,216.1875,0.2
47,33.1,33.4,32.85454545454545,11,33.1,hist_energy,213.1,0.2
48,32.3,33.7,31.918181818181814,11,32.3,hist_energy,212.3,0.2
49,,,32.355555555555554,11,32.355555555555554,yearly_mean,212.35555555555555,0.2
50,32.9,35.6,32.08181818181818,11,32.9,hist_energy,212.9,0.2
51,33.3,38.5,32.63636363636363,11,33.3,hist_energy,213.3,0.2
52,,,32.48181818181819,11,32.48181818181819,yearly_mean,212.4818181818182,0.2
53,43.5,29.2,43.01111111111111,11,43.5,hist_energy,223.5,0.2
54,28.2,24.2,27.579999999999995,11,28.2,hist_energy,208.2,0.2
55,,,17.51666666666667,11,17.51666666666667,yearly_mean,197.51666666666668,0.2
56,37.5,49.1,37.199999999999996,11,37.5,hist_energy,217.5,0.2
